State,year,Served,InCare_Sep30,Entered,Exited,Waiting_Adoption,parental_rights_terminated,adopted
North Carolina,FY 2015,15011,10323.999999999907,5596.999999999997,4686.99999999999,2738.9999999999973,1210.0000000000002,1311.0000000000014
North Carolina,FY 2016,15687,10560.999999999965,6032.000000000015,5125.999999999967,2943.000000000001,1284.0000000000011,1500.9999999999975
North Carolina,FY 2017,15501,10756.000000000002,5830.000000000047,4745.000000000014,2928.999999999997,1433.999999999997,1528.00000000001
North Carolina,FY 2018,15241,10542.999999999982,5530.99999999997,4698.000000000013,2818.999999999995,1255.0000000000027,1522.0000000000125
North Dakota,FY 2009,2114,1210.0000000000027,944.0000000000013,903.9999999999993,297.99999999999983,209.99999999999977,141.9999999999998
North Dakota,FY 2010,1913,1077.9999999999993,818.9999999999994,835.0000000000002,227.00000000000026,131.00000000000026,145.0000000000002
North Dakota,FY 2011,1769,1066.0000000000007,788.9999999999997,703.0000000000005,230.0000000000002,116.00000000000033,118.99999999999989
North Dakota,FY 2012,1887,1108.999999999999,856.0000000000006,777.9999999999987,211.0000000000001,115.99999999999986,154.99999999999966
North Dakota,FY 2013,2012,1226.9999999999984,951.0000000000002,784.9999999999999,237.0000000000005,134.9999999999997,103.9999999999999
North Dakota,FY 2014,2178,1365,998.9999999999994,813.0000000000016,261.99999999999983,152.99999999999983,96.00000000000004
North Dakota,FY 2015,2331.9999999999986,1358.999999999999,1037.0000000000027,975.9999999999992,296.0000000000005,172.00000000000023,133.0000000000002
North Dakota,FY 2016,2388.0000000000023,1406.9999999999993,1075.0000000000007,990.9999999999977,355.00000000000057,242.00000000000014,132.0000000000002
North Dakota,FY 2017,2460.9999999999995,1495.0000000000034,1085.999999999999,970.0000000000026,396.0000000000008,283.9999999999996,162.00000000000057
North Dakota,FY 2018,2613.0000000000023,1576.0000000000055,1165.0000000000018,1043.0000000000007,429.00000000000034,331.99999999999994,172.00000000000043
Ohio,FY 2009,22305,12232.000000000042,8787.999999999958,10073.000000000002,3379.9999999999973,2962.9999999999864,1452.9999999999825
Ohio,FY 2010,21025,11940.000000000084,9260.000000000002,9085.000000000007,3013.0000000000014,2687.000000000007,1438.000000000005
Ohio,FY 2011,21540,12068.999999999887,9933.999999999962,9470.999999999998,2788.999999999991,2483.9999999999936,1419.9999999999925
Ohio,FY 2012,21233,11876.999999999922,9551.000000000036,9356.000000000015,2655.000000000009,2277.000000000001,1250.000000000001
Ohio,FY 2013,21435,12222.999999999975,9874.99999999992,9211.999999999976,2976.0000000000086,2590.9999999999927,1243.999999999991
Ohio,FY 2014,21859,12519.000000000022,9923.999999999915,9340.00000000001,2941.9999999999754,2643.9999999999923,1405.999999999995
Ohio,FY 2015,22533,13204.999999999964,10359.999999999929,9328.000000000005,3009.999999999998,2643.0000000000186,1334.0000000000186
Ohio,FY 2016,23646,13725,10771.999999999985,9921.000000000073,3200.999999999991,2730.000000000001,1449.0000000000148
